level,puzzle,answer
4,001000008800010532750024090005302060670500004010780900098053406426179803537460219,261935748849617532753824691985342167672591384314786925198253476426179853537468219
1,503092000700000008006007310020600000065000730007043500000706102070000800400009000,513892467749361258286457319324675981165928734897143526958736142672514893431289675
2,700306000000000050060000018000081000000000000900000200000200900050400000080000007,718356492492817653563924718624781539835692174971543286147238965356479821289165347
3,030000001200806000000005000000000000000000650043070000600002080090000000000010003,836947521251836497479125836968251374127483659543679218614392785395768142782514963
4,010000200300800000000504000800090000000070120500000000000000000020130000400000005,718963254354827961296514873872391546943675128561248739187456392625139487439782615
4,014087002070000900050009003000050000367104520008736149085623491632900875401008206,914387652873265914256419783149852367367194528528736149785623491632941875491578236
1,020000695460350007501000302000800000000010000010925004147000000050160079096000450,723481695469352187581679342275843916934716528618925734147598263352164879896237451
2,140968000000000900600057300000000007300000840000196500070000405406010030000000000,143968752527431986698257314215384697369572841784196523971823465456719238832645179
3,510000700076089000004000805400100007000030000090706010000460201047000300005000084,518342796276589143934617825462198537751234968893756412389465271647821359125973684
4,640700002080005070000040090007400000000100300920000041200004000090300028500029006,649731852382965174715248693167493285854172369923586741238654917496317528571829436
4,300050004904800000610070002143028500008095300596407008732986451001740269060012073,387259614924861735615374982143628597278195346596437128732986451851743269469512873
1,002034800030010000080900400000050947010703006000000000000000005604000000005389000,952634871436817592781925463263158947819743256547296138398462715624571389175389624
2,200000900005600300000000000000000650090000000100720000000090012036008000000000000,283154976415679328679832145342981657597463281168725439854396712736218594921547863
3,102943000398657020060812093500009270209070005040521930003790052000234609920105307,152943786398657421764812593581369274239478165647521938413796852875234619926185347
4,072010000000603000003000607010020050300009040700300008000035000001000306007800002,672914835859673124143582697916428753385769241724351968268135479591247386437896512
4,000300000102040507007900803206090000078604921301520460465283179000050086009701354,984375612132846597657912843246198735578634921391527468465283179713459286829761354
1,007500400000600000006032890063805240008000150041000060000009000085260070010004080,137598426892647531456132897763815249928476153541923768274389615385261974619754382
2,600900001002000030700000602040081000020009070007500000800000005070008000254097106,635972841412865937798143652549781263126439578387526419863214795971658324254397186
3,050200900620000007000008060700900600030070010002004005005007030070800000100000082,857216943621349857493758261714935628538672419962184375285497136376821594149563782
4,007000000900205006008000100004080000600000052000000000000000700200600000000040800,467831295931275486528469137354982671689714352712356948845123769273698514196547823
4,050030000000020007906008104600300070093070400005810902084962715162540803579103200,257431689418629357936758124621394578893275461745816932384962715162547893579183246
1,000000028000802004000040300231070060060030087004506009300050000052000000008609000,547163928613892754829745316231978465965234187784516239396451872452387691178629543
2,920600500001004000000080900302007090090000200000008007109360480480709015000000000,927613548851974623643582971312457896798136254564298137179365482486729315235841769
3,035009400041300007700000300000900003590807140008200000080050201007100804050000030,635719428841326597729584316216945783593867142478231965984653271367192854152478639
4,000019000087050090921080030000001009400030000068000320000075000004000560003004987,345219678687453192921786435732561849419832756568947321896375214274198563153624987
4,002000030406000000700010500008100492000030000075492683041603250659281047037509168,512768934496325871783914526368157492924836715175492683841673259659281347237549168
1,000600500001007000004000000050002000060000800000001007080900000000500001007000004,873649512521387496694125378758462139162793845349851267485916723236574981917238654
2,000000001710500802640100900085020090063015080000009000000071500030068109000050406,358296741719543862642187953185624397963715284274839615426971538537468129891352476
3,040000930000000001856001200000200305605010000070480010000006143024000060700000000,142578936937642851856391274419267385685913427273485619598726143324159768761834592
4,040080070090460000000007200003004750150900003004000001000026100030500000500030800,642185379397462518815397264983214756156978423724653981479826135238541697561739842
